signal,hold_days,baseline_mean_pct,dip_n,dip_mean_pct,dip_p,dip_sig,run_n,run_mean_pct,run_p,run_sig
"Nday_ret(n=2,thresh=8%)",10,2.7026901898155673,45,8.460545396162747,0.018911624044352236,False,92,3.1520418633561578,0.7536753655061095,False
"Nday_ret(n=2,thresh=8%)",20,5.461749835098581,43,11.83137143584124,0.0311100289347569,False,90,10.618888328081683,0.045002203519492384,False
"Nday_ret(n=3,thresh=3%)",1,0.263410958983171,290,0.12156291885198221,0.562356149063952,False,389,0.5459251356352417,0.13530220571576085,False
"Nday_ret(n=3,thresh=3%)",3,0.8018865405227369,289,0.7818113463771771,0.9568622590765784,False,389,1.0859851027416452,0.4028721694977757,False
"Nday_ret(n=3,thresh=3%)",5,1.3462903642522814,288,1.4764199816868186,0.8004677636799076,False,389,1.4489113220515835,0.8202644531970902,False
"Nday_ret(n=3,thresh=3%)",10,2.7026901898155673,288,2.6144287984612204,0.907576124585612,False,385,3.3609160158473754,0.2927651410717731,False
"Nday_ret(n=3,thresh=3%)",20,5.461749835098581,285,5.028758440132013,0.658365720477186,False,382,7.716938661331521,0.03764535244653102,False
"Nday_ret(n=3,thresh=5%)",1,0.263410958983171,168,0.02245545950040908,0.4889556337152184,False,261,0.7197368402476803,0.053833529542338984,False
"Nday_ret(n=3,thresh=5%)",3,0.8018865405227369,168,0.7360330362383469,0.9024329876129462,False,261,1.185270459555966,0.37814339037902533,False
"Nday_ret(n=3,thresh=5%)",5,1.3462903642522814,168,1.2349878803611223,0.8812222740077361,False,261,1.1653210196630357,0.750962254175295,False
"Nday_ret(n=3,thresh=5%)",10,2.7026901898155673,168,2.5876825014273566,0.9148258958985062,False,258,2.972218594999464,0.7210864899864822,False
"Nday_ret(n=3,thresh=5%)",20,5.461749835098581,166,5.433340997732614,0.9829415493216958,False,255,8.499097207364706,0.02938758508283438,False
"Nday_ret(n=3,thresh=8%)",1,0.263410958983171,67,0.06250345901167774,0.7592772934244311,False,134,0.6119272264170765,0.27653341521729985,False
"Nday_ret(n=3,thresh=8%)",3,0.8018865405227369,67,0.8195601972417348,0.9845268053493983,False,134,1.095919820073701,0.6421626530018766,False
