ticker,date,entry_minute,entry_px,ret_pct,spread_pct
APP,2026-06-22,1,464.94,0.16276078633801205,0.4510147832623388
GNRC,2026-06-22,4,290.54,0.301507537688428,1.3259745218508079
RDDT,2026-06-22,6,173.25,0.606464646464655,0.22892025944296934
CBOE,2026-06-22,1,252.79,-0.20000000000000018,0.7199252232364824
DASH,2026-06-22,1,172.07,0.2117975242633907,0.8170411438576046
NEM,2026-06-22,0,100.7,0.6919563058589873,1.5941018232539688
SMCI,2026-06-23,0,33.61,0.9283546563522815,0.24147298520977448
COHR,2026-06-23,4,392.0,0.0520459183673605,0.2234809077948611
WDC,2026-06-23,1,671.71,0.8236887942713267,0.5122024706236784
HOOD,2026-06-23,0,102.06,0.2791495198902538,0.0885434600816601
GNRC,2026-06-23,2,283.4,-0.20000000000000018,1.089665978206681
FIX,2026-06-23,1,1951.08,0.05575578653873592,0.258732212160414
ALB,2026-06-23,0,150.82,-0.08089112849753999,1.8269960096296607
ECHO,2026-06-23,31,104.41,0.36394981323628617,0.20115905934191652
CSGP,2026-06-23,2,30.13,-0.001261201460323047,0.9383378016085828
ORCL,2026-06-24,2,164.08,0.3778278888347142,0.0675862492703841
CIEN,2026-06-24,0,451.32,0.8481520872108517,3.171131765992345
LULU,2026-06-24,1,111.65,-0.20000000000000018,0.4149003337241758
APP,2026-06-24,0,461.25,-0.20000000000000018,1.6770354341357856
CCL,2026-06-24,0,29.71,0.4382362840794185,0.784581272386152
MOS,2026-06-24,3,21.04,-0.19999999999998908,0.2859866539561595
GLW,2026-06-25,3,221.0,0.9605701357465968,0.15513072044531798
SMCI,2026-06-25,0,33.63,-0.11097234611956441,0.11990407673860656
SNDK,2026-06-25,2,2264.2,0.27603568589347205,0.1380416403278219
GNRC,2026-06-25,5,294.02,-0.19999999999998908,0.8114632016845581
COIN,2026-06-25,0,151.44,-0.19999999999998908,0.21961201876685357
SNDK,2026-06-26,26,2187.23,0.3826758045564427,0.11150583562565707
SMCI,2026-06-26,0,31.09,0.7630106143454496,0.25839793281653195
INTC,2026-06-26,0,129.67,-0.1769106192642811,0.11657276083155677
ECHO,2026-06-26,0,96.63,-0.20000000000000018,0.7865345288658171
COIN,2026-06-26,0,139.73,0.9070636227009432,0.17222820236814432
BLDR,2026-06-26,0,88.02,-0.15464667121107833,3.446893787575157
GNRC,2026-06-26,0,287.19,-0.20000000000001128,2.2246018860755115
WDC,2026-06-29,5,606.56,-0.15228501714585896,0.17999100044998434
ECHO,2026-06-29,2,100.58,-0.20000000000000018,0.6384676775738233
HOOD,2026-06-29,20,101.14,0.23417045679257065,0.11983223487118488
CVNA,2026-06-29,0,64.77,-0.061324687355257534,1.1584220413274922
AXON,2026-06-29,0,491.53,0.49642544707342307,0.6166495375128468
COIN,2026-06-29,1,151.83,0.03005993545412977,0.3047568570292696
APP,2026-06-29,2,493.12,0.32620051914340475,0.408997955010225
FIX,2026-06-29,4,1910.0,0.32251308900523856,1.8314023172193425
WDC,2026-06-30,0,642.76,0.6912377870433639,0.8978498857998023
SNDK,2026-06-30,5,2138.14,0.27002815531256275,0.494390568549158
GLW,2026-06-30,4,253.9,0.4564237888932565,0.45987947986044897
ALB,2026-06-30,0,138.4,0.07401734104046653,3.5036282342593275
AXON,2026-06-30,0,527.79,0.7208700430095139,0.9606147934678195
ECHO,2026-06-30,2,98.5,0.2762030456852749,0.42726347914547474
CBOE,2026-06-30,0,232.65,-0.20000000000001128,1.2611437268971541
SNDK,2026-07-01,0,2114.74,-0.20000000000000018,0.21884253415814955
ON,2026-07-01,2,92.89,-0.1892561093766787,0.3887269193391636
SMCI,2026-07-01,21,28.41,-0.12974304822246374,0.03540449637104466
AXON,2026-07-01,21,583.11,0.001958464097673307,0.35569149347470214
APP,2026-07-01,2,537.06,-0.20000000000000018,0.9473694084100266
FOXA,2026-07-01,13,54.11,-0.12622435778968377,0.03716090672611672
GEV,2026-07-01,0,1151.28,0.07392814953790516,0.8817844189127634
CSGP,2026-07-01,1,29.32,-0.13192360163710726,0.48126503953248734
FOX,2026-07-01,1,48.2,-0.20000000000000018,0.3141032352633203
HOOD,2026-07-02,0,114.9,1.0420713664055725,0.16859665468744128
RDDT,2026-07-02,2,196.64,0.8556550040683675,0.7587568859785926
COIN,2026-07-02,0,166.78,1.936263340928157,0.3208523776371953
APP,2026-07-02,0,562.61,0.8146566893585394,0.9036610089366123
MRNA,2026-07-02,0,75.05,1.089886742171875,1.223657375934746
LITE,2026-07-02,2,784.43,0.10152594877808063,0.6738147393771685
SMCI,2026-07-02,0,28.46,0.5714687280393482,0.10689470871191016
FDS,2026-07-02,2,251.93,0.2357559639582396,0.8968609865470852
AXON,2026-07-02,3,590.5,0.26815580016934515,1.2417268030231832
WDC,2026-07-06,0,570.69,1.4263470535667233,0.7054673721340388
STX,2026-07-06,0,868.52,0.5446046147469241,0.8067090334000807
APP,2026-07-06,0,523.84,-0.09331093463654794,1.9876568249645212
MRNA,2026-07-06,0,79.28,-0.09929364278506991,0.9922401730059803
FIX,2026-07-06,0,1785.86,0.7226355929356165,1.6795265098695393
VRT,2026-07-06,0,314.29,0.4382576601227983,0.6366559485530605
GNRC,2026-07-06,0,257.87,0.23732888664831364,2.7079303675048356
FOX,2026-07-06,0,50.32,-0.20000000000000018,1.7885532591415059
COIN,2026-07-06,0,163.96,0.02521346669919211,0.1673225296687697
SNDK,2026-07-07,0,1626.65,0.32150124488981024,0.04445432318293123
MU,2026-07-07,10,926.72,0.05738302831492792,0.02808563959642998
LRCX,2026-07-07,0,328.38,0.11303368049211393,0.6397478095591458
AXON,2026-07-07,0,653.33,0.971637610395959,2.8027251794234767
CSGP,2026-07-07,3,29.95,-0.033388981636051085,0.33523298692590636
HOOD,2026-07-07,1,117.37,0.0805998125585683,0.12051304123267675
COIN,2026-07-07,0,168.37,0.6357664667102192,0.437741732377891
MU,2026-07-08,0,922.11,0.7372721258851911,0.09751340809361236
INTC,2026-07-08,0,109.3,0.5304666056724638,0.07371913011426307
MRVL,2026-07-08,0,229.8,0.7988685813751006,0.4475859165540276
FIX,2026-07-08,1,1656.46,0.7886855100636136,2.4242424242424243
GNRC,2026-07-08,0,235.96,0.45557721647735416,2.4261626266790977
COIN,2026-07-08,2,159.97,0.4301056448084095,0.3070079258168482
CVNA,2026-07-08,2,66.9,-0.19999999999998908,0.4232164449818639
HOOD,2026-07-08,3,111.53,0.05055142114229749,0.1532981649307919
SNDK,2026-07-09,24,1842.76,0.34320367275173513,0.09462332845715082
WDC,2026-07-09,9,596.5,-0.09292204526405445,0.16652789342214974
MU,2026-07-09,7,1020.64,0.15494787584260372,0.05018721800441754
VRT,2026-07-09,1,335.23,0.3180085314560044,1.5171425158284504
FIX,2026-07-09,0,1776.05,0.39619830522790167,2.1693452211937103
HOOD,2026-07-09,0,113.2,-0.20000000000000018,0.32966543413374133
CHTR,2026-07-09,0,132.12,0.3061005146836049,3.240303636844286
TER,2026-07-10,1,356.51,0.012751395472765381,1.3280886520323083
KLAC,2026-07-10,15,226.55,0.20968439638047176,0.11991739024226947
LRCX,2026-07-10,0,345.19,0.586395897911296,1.0226956381591505
APP,2026-07-10,0,529.0,0.5036937618147386,0.9519114077669868
FIX,2026-07-10,3,1759.41,0.26456596245330033,1.1024606467011473
MRNA,2026-07-13,0,66.69,0.05440095966413594,0.33167495854062845
COIN,2026-07-13,0,157.23,0.6061184252369234,0.41646644241550906
CHTR,2026-07-13,0,133.33,-0.20000000000000018,2.102376599634362
CSGP,2026-07-13,0,29.17,0.34741172437433576,1.7391304347826086
VRT,2026-07-13,1,313.04,0.29096601073344,0.5210747566453001
AXON,2026-07-14,0,531.94,1.0889160431627465,3.0886944780443946
APP,2026-07-14,0,439.08,1.0932996264917616,0.4608294930875576
GEV,2026-07-14,0,1077.73,0.1055867425050705,0.8415147265077139
VRT,2026-07-14,0,316.67,-0.1936969084536,1.2811706257288427
FDS,2026-07-14,19,253.93,-0.023140235497975947,0.5260555720359983
TTD,2026-07-14,0,19.2,0.05989583333334547,0.26226068712300404
CVNA,2026-07-14,5,67.27,1.120380555968481,0.6648534300393047
AXON,2026-07-15,0,557.01,0.33572108220678576,1.5418601505793166
CVNA,2026-07-15,2,71.55,-0.13025856044723838,0.3223771813021092
CSGP,2026-07-15,0,28.3,0.18791519434628867,0.035707909301915954
GNRC,2026-07-15,0,229.29,-0.18258973352522911,6.493563551689293
CHTR,2026-07-15,0,130.36,0.289966247315121,1.8093249826026472
COIN,2026-07-15,0,166.8,-0.08033573141488226,0.16347289074562418
WDC,2026-07-16,0,492.71,1.0173448884739589,0.9320659426389415
SNDK,2026-07-16,0,1534.27,0.9292197592340345,0.32602504762715423
FIX,2026-07-16,2,1688.4,0.3668573797678265,2.0858358097293306
ERIE,2026-07-16,2,216.36,0.6717970049916699,
PNR,2026-07-16,3,64.18,-0.18444998441884408,0.6938968616937469
CAT,2026-07-16,1,896.12,-0.10645002901396028,0.46375192065932014
ALB,2026-07-16,2,122.19,-0.20000000000000018,0.7640172520024585
CSGP,2026-07-16,2,29.29,-0.16592693752133236,0.6194081211286984
GLW,2026-07-17,1,153.03,-0.056524864405671504,0.36973458338835485
SNDK,2026-07-17,1,1390.39,0.08783147174533656,0.14771048744460857
MRVL,2026-07-17,0,184.28,0.23325374430216428,0.4061025134452909
HOOD,2026-07-17,0,101.07,-0.1703769664588961,0.6368159203979964
APP,2026-07-17,0,423.33,0.7948645264923337,1.7857565781683016
MRNA,2026-07-17,0,62.32,-0.11992939666239932,1.1354420113544248
VRT,2026-07-17,27,280.23,0.6084287906362507,0.161073825503372
GNRC,2026-07-17,28,211.4,0.08325449385051531,0.3049361539927513
COIN,2026-07-17,0,154.4,0.5497927461139973,0.5868927290511937
WDC,2026-07-20,0,495.14,0.128541422627948,0.7462535234116778
TER,2026-07-20,0,340.39,0.7352859954757651,1.1902808645197713
STX,2026-07-20,2,821.53,0.36367022506786917,0.4876967412990513
AXON,2026-07-20,0,510.76,0.14584932257810657,1.2856816397905604
VRT,2026-07-20,0,297.25,0.5554247266610579,1.0118043844856661
FIX,2026-07-20,0,1718.48,-0.20000000000000018,1.530004500013235
FCX,2026-07-20,3,59.27,-0.0821326134638034,0.06763611768684333
HOOD,2026-07-21,0,103.86,1.1452724821875648,0.24329716315507766
