rank,indicators,n_indicators,n_trades,win_rate_blind,avg_return_blind,median_return_blind,win_rate_trail,avg_return_trail,median_return_trail,std_return_trail
357,RSI_50_70 & MACD_bull & ADX_gt25 & Stoch_bull & CCI_gt100 & WilliamsR_gt-50 & ROC10_pos,7,71,42.25352112676056,-0.1512353779461949,-0.21617931505290444,54.929577464788736,0.14330946551384532,0.04182857142856327,0.41718414858353203
358,RSI_50_70 & ADX_gt25 & Stoch_bull & VolRatio_gt1.2 & CCI_gt100 & ROC10_pos,6,40,32.5,-0.3294588216969655,-1.0485340061312565,50.0,0.1431422008005048,0.033199958999001904,0.45357712120805754
359,ADX_gt25 & Stoch_bull & VolRatio_gt1.2 & CCI_gt100 & WilliamsR_gt-50 & EMA9_gt_EMA21,6,39,33.33333333333333,-0.2231776748498408,-1.0323709536307897,48.717948717948715,0.142814346158393,-0.0015920524740480966,0.43883024980052165
360,ADX_gt25 & Stoch_bull & VolRatio_gt1.2 & CCI_gt100 & WilliamsR_gt-50 & EMA9_gt_EMA21 & ROC10_pos,7,39,33.33333333333333,-0.2231776748498408,-1.0323709536307897,48.717948717948715,0.142814346158393,-0.0015920524740480966,0.43883024980052165
361,MACD_bull & BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & CCI_gt100 & EMA9_gt_EMA21,6,65,44.61538461538462,0.014372469216548597,-0.20584418490178008,60.0,0.14261546967736097,0.06549384796898514,0.38286610500895607
362,RSI_50_70 & MACD_bull & BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & CCI_gt100 & WilliamsR_gt-50 & ROC10_pos,8,64,42.1875,-0.10527072663693392,-0.21819815467974382,56.25,0.1425356763600094,0.05366120969877421,0.397502240502001
363,VolRatio_gt1.2,1,5729,52.033513702216794,0.10072480232250595,0.07780486539759073,52.836446151160764,0.14226866069676172,0.021048009367683595,0.47117949935183817
364,MACD_bull & ADX_gt25 & Stoch_bull & CCI_gt100 & ROC10_pos,5,81,43.20987654320987,-0.14987057397323686,-0.21617931505290444,54.32098765432099,0.14224016680340157,0.035631634913613174,0.4114975287352351
365,BB_pctB_0.8-1.0 & Stoch_bull & VolRatio_gt1.2 & WilliamsR_gt-50,4,104,34.61538461538461,-0.6268904204570591,-0.7456895197542055,59.61538461538461,0.14223670918760073,0.068050379191104,0.3842703175884075
366,RSI_50_70 & BB_pctB_0.8-1.0 & Stoch_bull & VolRatio_gt1.2 & CCI_gt100 & EMA9_gt_EMA21 & ROC10_pos,7,63,26.984126984126984,-0.6876591312338235,-1.0618363522798357,58.730158730158735,0.1421925999091084,0.08264124826980374,0.3865319608006146
