ticker,n,win_rate,avg_net_credit_dollars,avg_max_risk_dollars,short_mult,wing_mult,iv_mult,max_move_bound
AXP,1,1.0,151.61,348.39000000000004,1.0,1.6,1.3,0.12
BA,2,0.0,158.27499999999998,341.725,1.0,1.6,1.3,0.12
BABA,4,0.5,78.60000000000001,171.4,1.0,1.6,1.3,0.12
CAT,1,1.0,163.38,336.62,1.0,1.6,1.3,0.12
COIN,15,0.4666666666666667,173.60200000000003,493.0646666666666,1.0,1.6,1.3,0.12
COST,1,1.0,296.83000000000004,703.17,1.0,1.6,1.3,0.12
CRM,4,0.25,97.2825,277.71750000000003,1.0,1.6,1.3,0.12
CVX,1,1.0,58.81999999999999,191.18,1.0,1.6,1.3,0.12
DIS,1,0.0,89.58,160.42000000000002,1.0,1.6,1.3,0.12
GM,1,1.0,64.89,185.10999999999999,1.0,1.6,1.3,0.12
GOOGL,1,1.0,120.07000000000001,379.92999999999995,1.0,1.6,1.3,0.12
GS,1,1.0,382.71999999999997,1117.28,1.0,1.6,1.3,0.12
HON,1,0.0,153.64,346.36,1.0,1.6,1.3,0.12
INTC,3,0.6666666666666666,46.67000000000001,103.32999999999998,1.0,1.6,1.3,0.12
ISRG,1,1.0,366.09,1133.91,1.0,1.6,1.3,0.12
JD,5,0.6,42.352000000000004,87.648,1.0,1.6,1.3,0.12
JPM,1,1.0,167.39,332.61,1.0,1.6,1.3,0.12
LLY,1,0.0,760.88,1739.1200000000001,1.0,1.6,1.3,0.12
LOW,1,1.0,113.46000000000001,386.54,1.0,1.6,1.3,0.12
MA,1,1.0,284.71000000000004,715.29,1.0,1.6,1.3,0.12
META,5,0.2,286.442,763.5579999999999,1.0,1.6,1.3,0.12
MS,1,1.0,102.27999999999999,397.71999999999997,1.0,1.6,1.3,0.12
MSFT,1,0.0,329.8,670.2,1.0,1.6,1.3,0.12
MU,7,0.2857142857142857,335.7828571428571,807.0742857142857,1.0,1.6,1.3,0.12
NFLX,2,0.5,57.38999999999999,117.61000000000001,1.0,1.6,1.3,0.12
NOW,4,0.25,92.67,219.83,1.0,1.6,1.3,0.12
NVDA,5,0.4,63.712,176.28799999999998,1.0,1.6,1.3,0.12
PLTR,4,0.0,88.3,224.2,1.0,1.6,1.3,0.12
QCOM,4,0.25,110.45500000000001,327.045,1.0,1.6,1.3,0.12
SHOP,8,0.25,76.46875,198.53124999999997,1.0,1.6,1.3,0.12
SLB,2,0.5,37.75,112.25,1.0,1.6,1.3,0.12
