alert_id,fired_at,session_date,ticker,signal_type,price,pct_b,rsi,vol_ratio,adx,dist_52w_high,tier,checked_at
1218,2026-08-27T13:58:01.780914+00:00,2026-08-27,BLK,BREAKOUT,1183.99,85.5,65.2,0.17,31.274974786269702,-2.242657220636978,PREFER-MID,2026-08-27T14:11:53.872668+00:00
1219,2026-08-27T14:03:55.422213+00:00,2026-08-27,DHR,BREAKOUT,216.49,81.8,64.0,0.19,22.153438243439453,-10.435864262403511,PREFER-HIGH,2026-08-27T14:11:54.047569+00:00
1220,2026-08-27T17:06:21.102888+00:00,2026-08-27,OXY,BREAKOUT,59.04,60.4,55.3,0.38,19.568741275305012,-10.937498740239954,PREFER-HIGH,2026-08-27T17:11:52.970711+00:00
1221,2026-08-27T17:57:30.794797+00:00,2026-08-27,XLE,BREAKOUT,62.55,66.5,61.8,1.08,26.41014071521874,-1.756861069623162,PREFER-HIGH,2026-08-27T17:58:28.744173+00:00
1222,2026-08-28T13:30:24.041279+00:00,2026-08-28,NFLX,BREAKOUT,80.34,74.6,59.6,0.01,21.97286113148265,-36.350682191395286,PREFER-HIGH,2026-08-28T13:41:53.395780+00:00
1223,2026-08-28T13:33:31.037545+00:00,2026-08-28,UBER,BREAKOUT,77.85,64.6,56.3,0.02,17.01116706162371,-22.521279418233124,PREFER-HIGH,2026-08-28T13:41:53.481459+00:00
1224,2026-08-28T13:33:48.284818+00:00,2026-08-28,DE,BREAKOUT,631.86,71.6,55.4,0.01,18.055180222822766,-5.7291457454951225,PREFER-HIGH,2026-08-28T13:41:53.617226+00:00
1225,2026-08-28T13:42:31.028896+00:00,2026-08-28,COP,BREAKOUT,130.53,67.4,62.3,0.06,26.33551969137757,-3.751282076516566,PREFER-HIGH,2026-08-28T14:11:46.500329+00:00
1226,2026-08-28T13:45:26.499480+00:00,2026-08-28,T,BREAKOUT,25.71,80.3,66.8,0.08,34.492472327993625,-12.54220137518416,PREFER-MID,2026-08-28T14:11:46.622130+00:00
1227,2026-08-28T13:48:26.501289+00:00,2026-08-28,ORCL,BREAKOUT,153.17,85.5,58.3,0.17,16.057635652142228,-54.10714864978788,PREFER-HIGH,2026-08-28T14:11:46.734003+00:00
1228,2026-08-28T13:51:38.221929+00:00,2026-08-28,DIS,BREAKOUT,107.63,66.9,58.5,0.09,28.708924610588184,-9.500162936754602,PREFER-HIGH,2026-08-28T14:11:46.906909+00:00
1229,2026-08-28T13:54:30.182137+00:00,2026-08-28,VZ,BREAKOUT,49.97,80.8,65.5,0.11,19.954181541400608,-2.530165842809381,PREFER-HIGH,2026-08-28T14:11:47.071958+00:00
1230,2026-08-28T13:54:38.443648+00:00,2026-08-28,V,BREAKOUT,381.62,86.8,65.7,0.12,23.813551693198416,-0.5544865938430984,PREFER-HIGH,2026-08-28T14:11:47.228878+00:00
1231,2026-08-28T14:18:20.418082+00:00,2026-08-28,CRM,BREAKOUT,259.76,122.8,81.5,2.03,28.178943514062325,-3.220903674706909,PREFER-HIGH,2026-08-28T14:26:53.760432+00:00
1232,2026-08-28T14:24:32.538011+00:00,2026-08-28,CMCSA,BREAKOUT,26.83,75.6,61.6,0.26,29.348836379268377,-17.333741502814572,PREFER-HIGH,2026-08-28T14:26:53.922919+00:00
1233,2026-08-28T14:45:29.683984+00:00,2026-08-28,QQQ,BREAKOUT,722.29,62.4,55.4,0.68,12.822449005433517,-3.000690792742954,PREFER-HIGH,2026-08-28T14:56:53.728539+00:00
1234,2026-08-28T14:48:32.449510+00:00,2026-08-28,SPY,BREAKOUT,773.51,70.9,60.5,0.58,15.491610783062582,-0.3985159107418516,PREFER-HIGH,2026-08-28T14:56:53.837613+00:00
1235,2026-08-28T15:21:23.760065+00:00,2026-08-28,VLO,BREAKOUT,350.59,74.7,67.2,0.27,30.08275652666091,0.0,PREFER-MID,2026-08-28T15:26:53.858487+00:00
1236,2026-08-28T15:48:23.221818+00:00,2026-08-28,SBUX,BREAKOUT,108.36,82.3,57.6,0.44,13.121420999696625,-0.055278845049566816,PREFER-HIGH,2026-08-28T15:56:53.516822+00:00
1237,2026-08-28T18:27:24.035504+00:00,2026-08-28,DHR,BREAKOUT,216.41,79.2,63.9,0.44,22.96440670367945,-10.572194181058816,PREFER-HIGH,2026-08-28T18:41:53.459363+00:00
